member_id,assigned_slip,status,boat_length_ft,boat_length_in,boat_width_ft,boat_width_in,comment
M091,,UNASSIGNED,28,6,10,0,"Evicted - boat doesn't fit previous slip, all 37 suitable slips taken"
M092,,UNASSIGNED,34,0,13,0,"Evicted - boat doesn't fit previous slip, all 10 suitable slips taken"
M094,,UNASSIGNED,29,0,10,0,"Evicted - boat doesn't fit previous slip, all 30 suitable slips taken"
M097,,UNASSIGNED,19,0,7,0,"Evicted - boat doesn't fit previous slip, all 185 suitable slips taken"
M098,,UNASSIGNED,26,0,9,6,"Evicted - boat doesn't fit previous slip, all 65 suitable slips taken"
M099,,UNASSIGNED,21,0,8,0,"Evicted - boat doesn't fit previous slip, all 155 suitable slips taken"
M100,,UNASSIGNED,26,0,9,0,"Evicted - boat doesn't fit previous slip, all 65 suitable slips taken"
M101,,UNASSIGNED,26,0,9,6,"Evicted - boat doesn't fit previous slip, all 65 suitable slips taken"
M106,,UNASSIGNED,29,0,11,0,"Evicted - boat doesn't fit previous slip, all 30 suitable slips taken"
M108,,UNASSIGNED,21,0,8,6,"Evicted - boat doesn't fit previous slip, all 155 suitable slips taken"
M110,,UNASSIGNED,29,6,11,6,"Evicted - boat doesn't fit previous slip, all 30 suitable slips taken"
M112,,UNASSIGNED,28,0,10,6,"Evicted - boat doesn't fit previous slip, all 65 suitable slips taken"
M113,,UNASSIGNED,29,6,11,0,"Evicted - boat doesn't fit previous slip, all 30 suitable slips taken"
M115,,UNASSIGNED,26,0,9,0,"Evicted - boat doesn't fit previous slip, all 65 suitable slips taken"
M118,,UNASSIGNED,30,6,11,0,"Evicted - boat doesn't fit previous slip, all 14 suitable slips taken"
M119,,UNASSIGNED,29,6,11,0,"Evicted - boat doesn't fit previous slip, all 30 suitable slips taken"
M124,,UNASSIGNED,24,6,8,0,"Evicted - boat doesn't fit previous slip, all 115 suitable slips taken"
M125,,UNASSIGNED,27,0,9,0,"Evicted - boat doesn't fit previous slip, all 65 suitable slips taken"
M127,,UNASSIGNED,21,6,8,0,"Evicted - boat doesn't fit previous slip, all 155 suitable slips taken"
M130,,UNASSIGNED,21,0,8,6,"Evicted - boat doesn't fit previous slip, all 155 suitable slips taken"
M135,,UNASSIGNED,26,0,9,0,"Evicted - boat doesn't fit previous slip, all 65 suitable slips taken"
M136,,UNASSIGNED,24,0,9,0,"Evicted - boat doesn't fit previous slip, all 115 suitable slips taken"
M137,,UNASSIGNED,26,0,10,0,"Evicted - boat doesn't fit previous slip, all 65 suitable slips taken"
M138,,UNASSIGNED,34,0,13,0,"Evicted - boat doesn't fit previous slip, all 10 suitable slips taken"
M140,,UNASSIGNED,24,6,9,0,"Evicted - outranked by higher priority member(s), all 115 suitable slips taken"
M141,,UNASSIGNED,27,0,10,6,"Evicted - boat doesn't fit previous slip, all 65 suitable slips taken"
M142,,UNASSIGNED,28,0,10,0,"Evicted - boat doesn't fit previous slip, all 65 suitable slips taken"
M143,,UNASSIGNED,27,0,10,6,"Evicted - boat doesn't fit previous slip, all 65 suitable slips taken"
M147,,UNASSIGNED,29,0,11,0,"Evicted - boat doesn't fit previous slip, all 30 suitable slips taken"
M149,,UNASSIGNED,23,0,8,0,"Evicted - boat doesn't fit previous slip, all 115 suitable slips taken"
M150,,UNASSIGNED,28,0,9,0,"Evicted - outranked by higher priority member(s), all 65 suitable slips taken"
M159,,UNASSIGNED,24,6,8,0,"Evicted - outranked by higher priority member(s), all 115 suitable slips taken"
M161,,UNASSIGNED,30,0,11,0,"Evicted - boat doesn't fit previous slip, all 30 suitable slips taken"
M162,,UNASSIGNED,27,0,10,0,"Evicted - boat doesn't fit previous slip, all 65 suitable slips taken"
M163,,UNASSIGNED,29,0,11,0,"Evicted - boat doesn't fit previous slip, all 30 suitable slips taken"
M165,,UNASSIGNED,35,0,13,0,"Evicted - boat doesn't fit previous slip, all 10 suitable slips taken"
M166,,UNASSIGNED,28,6,9,0,"Evicted - boat doesn't fit previous slip, all 37 suitable slips taken"
M168,,UNASSIGNED,24,6,9,0,"Evicted - boat doesn't fit previous slip, all 115 suitable slips taken"
M169,,UNASSIGNED,27,0,10,0,All 65 suitable slips taken by higher priority members
M170,,UNASSIGNED,25,0,9,0,All 115 suitable slips taken by higher priority members
M171,,UNASSIGNED,28,0,10,0,All 65 suitable slips taken by higher priority members
M172,,UNASSIGNED,20,0,6,0,All 185 suitable slips taken by higher priority members
M173,,UNASSIGNED,19,6,7,0,All 185 suitable slips taken by higher priority members
M174,,UNASSIGNED,25,0,9,6,All 115 suitable slips taken by higher priority members
M175,,UNASSIGNED,27,6,10,0,All 65 suitable slips taken by higher priority members
M176,,UNASSIGNED,24,0,8,0,All 115 suitable slips taken by higher priority members
M177,,UNASSIGNED,25,0,8,0,All 115 suitable slips taken by higher priority members
M178,,UNASSIGNED,27,6,10,0,All 65 suitable slips taken by higher priority members
M180,,UNASSIGNED,39,0,15,0,All 2 suitable slips taken by higher priority members
M181,,UNASSIGNED,29,0,11,0,All 30 suitable slips taken by higher priority members
M182,,UNASSIGNED,19,0,7,6,All 185 suitable slips taken by higher priority members
M183,,UNASSIGNED,17,0,6,0,All 200 suitable slips taken by higher priority members
M184,,UNASSIGNED,18,6,6,6,All 188 suitable slips taken by higher priority members
M185,,UNASSIGNED,26,0,10,0,All 65 suitable slips taken by higher priority members
M186,,UNASSIGNED,24,0,9,0,All 115 suitable slips taken by higher priority members
M187,,UNASSIGNED,20,0,7,0,All 185 suitable slips taken by higher priority members
M188,,UNASSIGNED,19,0,7,0,All 185 suitable slips taken by higher priority members
M189,,UNASSIGNED,29,0,11,0,All 30 suitable slips taken by higher priority members
M190,,UNASSIGNED,23,0,9,0,All 115 suitable slips taken by higher priority members
M191,,UNASSIGNED,24,0,8,0,All 115 suitable slips taken by higher priority members
M192,,UNASSIGNED,17,6,6,0,All 200 suitable slips taken by higher priority members
M193,,UNASSIGNED,24,6,9,0,All 115 suitable slips taken by higher priority members
M194,,UNASSIGNED,28,6,10,0,All 37 suitable slips taken by higher priority members
M195,,UNASSIGNED,27,6,10,6,All 65 suitable slips taken by higher priority members
M196,,UNASSIGNED,24,0,9,0,All 115 suitable slips taken by higher priority members
M197,,UNASSIGNED,27,0,10,0,All 65 suitable slips taken by higher priority members
M198,,UNASSIGNED,23,0,9,6,All 115 suitable slips taken by higher priority members
M199,,UNASSIGNED,20,0,7,0,All 185 suitable slips taken by higher priority members
M200,,UNASSIGNED,18,0,6,0,All 200 suitable slips taken by higher priority members
M201,,UNASSIGNED,27,0,10,6,All 65 suitable slips taken by higher priority members
M202,,UNASSIGNED,40,0,15,6,All 2 suitable slips taken by higher priority members
M203,,UNASSIGNED,18,0,6,0,All 200 suitable slips taken by higher priority members
M204,,UNASSIGNED,23,0,8,6,All 115 suitable slips taken by higher priority members
M205,,UNASSIGNED,25,0,9,0,All 115 suitable slips taken by higher priority members
M206,,UNASSIGNED,21,6,8,0,All 155 suitable slips taken by higher priority members
M207,,UNASSIGNED,16,0,6,0,All 200 suitable slips taken by higher priority members
M208,,UNASSIGNED,18,0,6,0,All 200 suitable slips taken by higher priority members
M209,,UNASSIGNED,35,0,13,0,All 10 suitable slips taken by higher priority members
M210,,UNASSIGNED,27,0,10,0,All 65 suitable slips taken by higher priority members
M211,,UNASSIGNED,17,6,6,0,All 200 suitable slips taken by higher priority members
M212,,UNASSIGNED,24,0,9,0,All 115 suitable slips taken by higher priority members
M213,,UNASSIGNED,21,6,8,0,All 155 suitable slips taken by higher priority members
M214,,UNASSIGNED,23,0,9,0,All 115 suitable slips taken by higher priority members
M215,,UNASSIGNED,34,6,12,0,All 10 suitable slips taken by higher priority members
M216,,UNASSIGNED,34,6,12,0,All 10 suitable slips taken by higher priority members
M217,,UNASSIGNED,25,0,9,0,All 115 suitable slips taken by higher priority members
M218,,UNASSIGNED,23,0,9,6,All 115 suitable slips taken by higher priority members
M219,,UNASSIGNED,21,0,8,6,All 155 suitable slips taken by higher priority members
M220,,UNASSIGNED,25,0,8,0,All 115 suitable slips taken by higher priority members
M221,,UNASSIGNED,25,0,9,0,All 115 suitable slips taken by higher priority members
M222,,UNASSIGNED,24,0,9,6,All 115 suitable slips taken by higher priority members
M223,,UNASSIGNED,19,0,7,0,All 185 suitable slips taken by higher priority members
M224,,UNASSIGNED,29,0,11,6,All 30 suitable slips taken by higher priority members
M225,,UNASSIGNED,21,0,8,0,All 155 suitable slips taken by higher priority members
