member_id,assigned_slip,status,boat_length_ft,boat_length_in,boat_width_ft,boat_width_in,price,upgraded,comment
1362,B-09,PERMANENT,37,10,12,10,1499.90,false,"NOTE: boat is 2' 10"" longer than slip"
1915,B-10,PERMANENT,40,3,12,9,1515.94,false,"NOTE: boat is 5' 3"" longer than slip"
1587,B-11,PERMANENT,44,0,14,0,1694.00,false,"NOTE: boat is 8' 5"" longer than slip"
2020,C-01,PERMANENT,22,6,10,0,1035.43,false,"NOTE: boat is 5' 11"" shorter than slip"
1964,C-02,PERMANENT,26,10,8,10,944.26,false,"NOTE: boat is 1' 7"" shorter than slip"
1847,C-03,PERMANENT,30,0,10,0,983.34,false,"NOTE: boat is 1' 7"" longer than slip"
1877,C-04,PERMANENT,25,0,8,0,892.16,false,"NOTE: boat is 3' 5"" shorter than slip"
1844,C-05,PERMANENT,33,0,9,2,971.09,false,"NOTE: boat is 4' 9"" longer than slip"
1909,C-06,PERMANENT,32,5,10,10,965.75,false,"NOTE: boat is 4' 2"" longer than slip"
1777,C-07,PERMANENT,32,10,10,8,963.11,false,"NOTE: boat is 4' 8"" longer than slip"
1434,C-08,PERMANENT,36,0,11,3,1113.75,false,"NOTE: boat is 8' 3"" longer than slip"
1735,C-09,PERMANENT,33,0,9,2,962.50,false,"NOTE: boat is 5' longer than slip"
1507,C-10,PERMANENT,28,3,10,8,933.19,false,"NOTE: boat is 2"" longer than slip"
1425,C-11,PERMANENT,33,8,10,11,1032.40,false,"NOTE: boat is 5' 4"" longer than slip"
1767,C-12,PERMANENT,33,0,8,0,980.45,false,"NOTE: boat is 4' 8"" longer than slip"
1027,C-13,PERMANENT,33,7,9,0,964.72,false,"NOTE: boat is 4' 9"" longer than slip"
1287,C-14,PERMANENT,34,3,10,9,1012.52,false,"NOTE: boat is 5' 10"" longer than slip"
1096,C-15,PERMANENT,33,0,0,0,976.94,false,"NOTE: boat is 4' longer than slip"
1947,C-16,PERMANENT,35,0,11,6,1106.88,false,"NOTE: boat is 6' longer than slip"
309,C-17,PERMANENT,24,0,8,0,975.10,false,"NOTE: boat is 4' 9"" shorter than slip"
556,C-18,PERMANENT,35,6,10,4,1008.79,false,"NOTE: boat is 6' 9"" longer than slip"
1805,C-19,PERMANENT,32,10,10,6,982.55,false,"NOTE: boat is 4' 3"" longer than slip"
1447,C-20,PERMANENT,33,0,11,0,998.25,false,"NOTE: boat is 4' 5"" longer than slip"
1414,C-21,PERMANENT,31,4,10,3,961.93,false,"NOTE: boat is 2' 7"" longer than slip"
1948,C-22,PERMANENT,34,6,11,0,1043.63,false,"NOTE: boat is 5' 9"" longer than slip"
2032,C-23,PERMANENT,29,8,11,0,937.06,false,"NOTE: boat is 8"" longer than slip"
1160,C-24,PERMANENT,31,11,10,0,1003.52,false,"NOTE: boat is 2' 11"" longer than slip"
2012,C-25,PERMANENT,30,0,10,6,974.72,false,"NOTE: boat is 8"" longer than slip"
1527,C-26,PERMANENT,33,0,11,6,1043.63,false,"NOTE: boat is 3' 8"" longer than slip"
961,C-27,PERMANENT,36,0,11,6,1138.50,false,"NOTE: boat is 6' 5"" longer than slip"
1966,C-28,PERMANENT,32,0,10,4,976.25,false,"NOTE: boat is 2' 5"" longer than slip"
1028,C-29,PERMANENT,35,0,11,4,1090.83,false,"NOTE: boat is 5' 8"" longer than slip"
1467,C-30,PERMANENT,26,10,8,10,961.28,false,"NOTE: boat is 2' 6"" shorter than slip"
1399,C-31,PERMANENT,31,0,11,0,978.85,false,"NOTE: boat is 2' 4"" longer than slip"
1402,C-32,PERMANENT,32,3,10,3,932.25,false,"NOTE: boat is 4' longer than slip"
1325,C-33,PERMANENT,30,0,10,10,955.82,false,"NOTE: boat is 10"" longer than slip"
1979,C-34,PERMANENT,34,6,11,9,1114.78,false,"NOTE: boat is 4' 9"" longer than slip"
1991,C-35,PERMANENT,33,11,11,3,1049.30,false,"NOTE: boat is 4' 2"" longer than slip"
1943,C-36,PERMANENT,31,0,10,7,974.93,false,"NOTE: boat is 1' 3"" longer than slip"
1479,C-37,PERMANENT,35,6,10,4,1015.84,false,"NOTE: boat is 5' 9"" longer than slip"
1815,C-38,PERMANENT,31,1,10,6,1038.98,false,"NOTE: boat is 1' 10"" longer than slip"
1961,C-39,PERMANENT,34,6,11,9,1114.78,false,"NOTE: boat is 4' 9"" longer than slip; TIGHT FIT"
2000,C-40,PERMANENT,35,0,11,4,1090.83,false,"NOTE: boat is 5' 3"" longer than slip"
1307,C-41,PERMANENT,32,0,9,10,954.48,false,"NOTE: boat is 2' 3"" longer than slip"
1050,C-42,PERMANENT,36,0,12,0,1189.38,false,"NOTE: boat is 6' longer than slip"
2049,C-43,PERMANENT,30,0,9,0,1072.50,false,"NOTE: boat is 4' longer than slip"
1348,D-01,PERMANENT,20,0,8,0,440.00,false,"NOTE: boat is 6' 7"" longer than slip"
1711,D-03,PERMANENT,33,0,9,9,942.41,false,"NOTE: boat is 4' 10"" longer than slip"
2029,D-04,PERMANENT,29,11,10,10,1006.54,false,"NOTE: boat is 2"" shorter than slip"
1826,D-05,PERMANENT,29,10,11,5,1034.11,false,"NOTE: boat is 3"" shorter than slip"
1887,D-06,PERMANENT,30,0,11,0,1003.75,false,
1856,D-07,PERMANENT,27,0,9,0,1024.38,false,"NOTE: boat is 3' shorter than slip"
1533,D-09,PERMANENT,27,6,9,3,983.13,false,"NOTE: boat is 2' 6"" shorter than slip"
2042,D-10,PERMANENT,25,11,9,0,996.88,false,"NOTE: boat is 4' 1"" shorter than slip"
913,D-11,PERMANENT,28,6,10,0,1024.38,false,"NOTE: boat is 1' 6"" shorter than slip"
2039,D-12,PERMANENT,32,0,9,3,969.38,false,"NOTE: boat is 2' longer than slip"
1814,D-13,PERMANENT,34,0,11,6,1075.25,false,"NOTE: boat is 4' longer than slip"
740,D-14,PERMANENT,24,0,9,0,969.38,false,"NOTE: boat is 6' shorter than slip"
1361,D-15,PERMANENT,33,0,11,3,1020.94,false,"NOTE: boat is 3' longer than slip"
1633,D-16,PERMANENT,25,0,8,0,969.38,false,"NOTE: boat is 5' shorter than slip"
1878,D-17,PERMANENT,29,11,11,6,1003.75,false,"NOTE: boat is 1"" shorter than slip"
1863,D-18,PERMANENT,30,2,10,6,990.00,false,"NOTE: boat is 2"" longer than slip"
2064,D-19,PERMANENT,30,2,9,0,1003.75,false,"NOTE: boat is 2"" longer than slip"
1553,D-20,PERMANENT,33,0,10,11,990.69,false,"NOTE: boat is 3' longer than slip"
1864,D-21,PERMANENT,36,0,11,4,1122.00,false,"NOTE: boat is 6' longer than slip"
1906,D-22,PERMANENT,34,0,11,3,1051.88,false,"NOTE: boat is 4' longer than slip"
1910,D-24,PERMANENT,33,0,11,6,1043.63,false,"NOTE: boat is 3' longer than slip"
1568,D-25,PERMANENT,30,0,10,10,969.38,false,
1514,D-26,PERMANENT,33,0,11,0,1155.00,false,"NOTE: boat is 3' longer than slip"
1687,D-27,PERMANENT,34,3,11,3,1093.13,false,"NOTE: boat is 4' 3"" longer than slip"
1788,D-28,PERMANENT,34,6,11,0,1043.63,false,"NOTE: boat is 4' 6"" longer than slip"
1773,D-30,PERMANENT,33,0,10,7,1292.50,false,"NOTE: boat is 3' longer than slip"
1825,D-31,PERMANENT,34,11,10,11,1306.25,false,"NOTE: boat is 4' 11"" longer than slip"
1709,D-32,PERMANENT,36,0,11,11,1179.75,false,"NOTE: boat is 6' longer than slip"
1839,D-33,PERMANENT,36,0,12,0,1216.88,false,"NOTE: boat is 6' longer than slip"
1599,D-34,PERMANENT,31,0,12,0,1155.00,false,"NOTE: boat is 1' longer than slip"
1032,D-35,PERMANENT,34,6,11,9,1265.00,false,"NOTE: boat is 4' 6"" longer than slip"
1834,D-36,PERMANENT,36,0,11,9,1163.25,false,"NOTE: boat is 6' longer than slip"
1526,D-37,PERMANENT,32,7,11,0,1223.75,false,"NOTE: boat is 2' 7"" longer than slip"
1810,D-38,PERMANENT,32,6,11,9,1258.13,false,"NOTE: boat is 2' 6"" longer than slip"
1468,D-39,PERMANENT,33,0,11,0,1292.50,false,"NOTE: boat is 3' longer than slip"
1953,D-40,PERMANENT,36,0,12,0,1285.63,false,"NOTE: boat is 6' longer than slip"
1576,D-41,PERMANENT,35,0,11,3,1175.63,false,"NOTE: boat is 5' longer than slip"
1846,D-42,PERMANENT,37,5,12,10,1320.50,false,"NOTE: boat is 7' 5"" longer than slip"
1675,D-43,PERMANENT,37,0,12,9,1297.31,false,"NOTE: boat is 7' longer than slip"
1974,D-44,PERMANENT,33,11,11,4,1258.13,false,"NOTE: boat is 3' 11"" longer than slip"
2040,D-45,PERMANENT,38,8,11,11,1267.14,false,"NOTE: boat is 8' 8"" longer than slip"
1215,D-46,PERMANENT,30,0,11,6,1182.50,false,
1945,D-47,PERMANENT,34,0,11,3,1168.75,false,"NOTE: boat is 4' longer than slip"
1181,D-48,PERMANENT,33,6,11,8,1074.79,false,"NOTE: boat is 3' 6"" longer than slip"
1975,D-49,PERMANENT,28,4,10,0,1086.25,false,"NOTE: boat is 1' 8"" shorter than slip"
2036,A-01,PERMANENT,46,0,13,0,1644.50,true,"NOTE: boat is 8' 6"" longer than slip"
2037,A-03,PERMANENT,37,6,12,10,1512.50,true,
1458,A-35,PERMANENT,30,0,10,0,836.00,true,"NOTE: boat is 1' 6"" longer than slip"
2007,D-08,PERMANENT,30,4,9,0,1017.50,true,"NOTE: boat is 4"" longer than slip"
2069,A-38,PERMANENT,27,0,8,0,876.28,true,"NOTE: boat is 1' 9"" shorter than slip"
1845,A-41,PERMANENT,23,0,8,0,970.83,true,"NOTE: boat is 6' 10"" shorter than slip"
1965,B-00,PERMANENT,33,0,11,4,1235.21,true,"NOTE: boat is 2' shorter than slip"
2051,D-02,PERMANENT,26,3,9,5,842.49,true,"NOTE: boat is 3' 10"" longer than slip"
